-1.2271,-1.3586,-0.6029,-1.8052,0.10902,0.24097,1.9709,0.71433,0.72347,2.5089,0.181,2.7618,-0.050952,-1.0225,-0.19543,1.5528,0.45207,-0.53653
0.97342,-1.3344,0.4926,3.2031,0.34353,0.56092,1.1073,1.0679,0.52498,1.9255,-4.1574,2.8994,0.38506,-3.1077,0.80537,3.0415,0.41796,0.43377
1.9171,-1.8687,1.5041,0.84336,0.34353,-1.8895,1.2747,1.4864,0.99244,1.6626,-3.1991,2.3983,0.049353,-2.5636,-0.3188,2.3037,-1.0739,-0.36142
0.25507,-3.4892,1.966,-0.69996,-0.78092,-0.8823,1.8336,1.7444,1.802,3.1375,-4.7117,2.1537,0.80136,-3.4798,-1.2877,3.5249,0.17715,-0.56068
0.12214,-2.0542,1.5611,-1.2485,-1.9682,-1.6523,2.0603,0.10265,0.86943,1.0283,-3.1301,2.6031,0.95923,-0.73838,1.1151,2.8011,0.10971,-1.3953
0.94801,-1.6104,0.89582,-1.2485,-2.442,-0.31789,1.442,0.96462,1.1323,2.8532,-3.6227,2.0772,0.26755,-0.66996,1.5555,2.7191,1.1596,1.1014
2.2712,-2.4669,0.046485,-1.477,-1.2913,0.067625,1.8219,0.0071517,-1.6415,1.5799,-0.15114,0.051812,-1.1093,0.67222,0.84277,NaN,1.3514,0.82069
2.2382,-1.0573,1.9636,-0.83927,-1.3006,-0.062748,0.26618,2.8263,-1.3386,1.8281,-2.8976,0.46911,1.9739,1.9283,0.3021,NaN,-1.4293,1.4005
1.8636,-1.0573,0.26332,-0.90598,-1.1524,-0.077281,1.928,2.5215,-0.89344,3.0143,-3.2689,2.2179,1.3286,-1.1573,0.18569,3.7731,-0.75401,2.7643
1.8636,-2.221,1.5826,-1.0556,-0.78875,0.17986,1.431,-0.2944,-2.0719,2.2996,0.064008,2.3172,1.8885,-0.6702,-1.2942,NaN,-1.0335,1.5229
1.4834,-0.97182,0.82026,3.7951,0.024544,-1.7367,1.1316,1.6566,-2.0325,1.6151,-0.10349,1.2432,0.75016,-0.50096,-0.12181,3.3455,0.32573,1.1276
0.35497,-0.81608,1.4331,0.63824,0.18267,-1.2557,0.84674,-0.15536,-2.0447,3.0206,0.6405,1.441,1.0774,0.84707,-0.058276,3.0184,0.66843,1.3796
0.96405,-0.94376,1.5491,2.2586,-0.43689,1.5903,0.40662,0.934,1.7526,2.848,-1.7446,1.3569,0.8612,-0.49592,-0.58163,1.3061,-0.38605,1.2746
0.68344,-3.6417,1.7683,2.6354,0.50782,1.534,0.10515,-0.61124,-1.8309,2.3196,-1.8356,1.8733,0.49132,-0.38908,-0.71075,0.48776,-0.62461,1.4076
