7.7889e-05,1,1,1,1
5.664e-05,1,1,2,1
4.5867e-06,1,1,1,2
8.8653e-05,1,1,2,2
-4.3127e-05,1,1,1,1
3.317e-05,1,1,2,1
-1.9898e-05,1,1,1,2
2.6531e-05,1,1,2,2
6.6257e-05,1,1,1,1
4.9035e-05,1,1,2,1
8.6448e-05,1,1,1,2
3.9025e-05,1,1,2,2
0.00015213,1,1,1,1
0.0002658,1,1,2,1
0.00021,1,1,1,2
0.0003507,1,1,2,2
0.00020077,1,1,1,1
0.00010871,1,1,2,1
0.00012027,1,1,1,2
0.00010474,1,1,2,2
7.815e-05,1,1,1,1
0.00013771,1,1,2,1
4.4856e-05,1,1,1,2
0.00016786,1,1,2,2
6.906e-05,2,1,1,1
8.8102e-05,2,1,2,1
7.2432e-05,2,1,1,2
7.7085e-05,2,1,2,2
6.0507e-05,2,1,1,1
-4.3163e-06,2,1,2,1
3.8991e-05,2,1,1,2
3.6458e-05,2,1,2,2
0.00014643,2,1,1,1
-2.224e-05,2,1,2,1
0.00010206,2,1,1,2
1.5965e-05,2,1,2,2
0.00023501,2,1,1,1
6.4498e-05,2,1,2,1
0.00026964,2,1,1,2
6.8702e-05,2,1,2,2
0.00024679,2,1,1,1
0.00029743,2,1,2,1
0.00035497,2,1,1,2
0.00039311,2,1,2,2
0.00017575,2,1,1,1
0.00027855,2,1,2,1
0.0002133,2,1,1,2
0.00046376,2,1,2,2
0.00020279,1,1,1,1
0.00016529,1,1,2,1
0.00016588,1,1,1,2
0.00013686,1,1,2,2
7.121e-05,1,1,1,1
0.00014626,1,1,2,1
0.00012083,1,1,1,2
0.00012292,1,1,2,2
0.0002619,1,1,1,1
0.00039505,1,1,2,1
0.00027499,1,1,1,2
0.00042972,1,1,2,2
1.0374e-05,2,1,1,1
8.0743e-05,2,1,2,1
6.242e-05,2,1,1,2
5.985e-05,2,1,2,2
2.8575e-05,2,1,1,1
-3.0666e-05,2,1,2,1
4.248e-05,2,1,1,2
2.0403e-05,2,1,2,2
0.00012987,2,1,1,1
8.0023e-05,2,1,2,1
0.0001751,2,1,1,2
5.8854e-05,2,1,2,2
1.1422e-05,1,2,1,1
1.5709e-05,1,2,2,1
3.5889e-07,1,2,1,2
1.8889e-05,1,2,2,2
1.274e-05,1,2,1,1
6.0549e-06,1,2,2,1
1.3795e-05,1,2,1,2
8.5242e-06,1,2,2,2
1.7985e-05,1,2,1,1
2.8582e-05,1,2,2,1
1.5215e-05,1,2,1,2
2.1572e-05,1,2,2,2
4.5069e-05,1,2,1,1
2.8278e-05,1,2,2,1
4.7098e-05,1,2,1,2
3.5526e-05,1,2,2,2
1.357e-05,1,2,1,1
8.2475e-06,1,2,2,1
1.1752e-05,1,2,1,2
4.6323e-06,1,2,2,2
1.1759e-05,1,2,1,1
7.3406e-06,1,2,2,1
1.1295e-05,1,2,1,2
1.0832e-05,1,2,2,2
2.7866e-05,2,2,1,1
1.523e-05,2,2,2,1
2.6797e-05,2,2,1,2
2.6153e-05,2,2,2,2
1.2822e-05,2,2,1,1
1.8975e-05,2,2,2,1
1.915e-05,2,2,1,2
2.0163e-05,2,2,2,2
1.3796e-05,2,2,1,1
9.918e-06,2,2,2,1
1.6397e-05,2,2,1,2
9.5032e-06,2,2,2,2
5.1524e-05,2,2,1,1
6.3143e-05,2,2,2,1
6.2844e-05,2,2,1,2
5.7915e-05,2,2,2,2
2.3759e-06,2,2,1,1
1.3223e-05,2,2,2,1
-2.8507e-07,2,2,1,2
1.9179e-05,2,2,2,2
4.5168e-05,2,2,1,1
1.4217e-05,2,2,2,1
5.4458e-05,2,2,1,2
1.2122e-05,2,2,2,2
4.558e-05,1,2,1,1
1.2459e-05,1,2,2,1
3.0007e-05,1,2,1,2
2.6366e-05,1,2,2,2
2.5941e-05,1,2,1,1
2.1061e-05,1,2,2,1
1.3803e-05,1,2,1,2
3.2388e-05,1,2,2,2
2.7829e-05,1,2,1,1
2.8772e-05,1,2,2,1
2.3988e-05,1,2,1,2
3.043e-05,1,2,2,2
1.2532e-05,2,2,1,1
5.3155e-06,2,2,2,1
1.5776e-05,2,2,1,2
7.8651e-06,2,2,2,2
1.3435e-05,2,2,1,1
5.9611e-06,2,2,2,1
1.3367e-05,2,2,1,2
1.4582e-05,2,2,2,2
2.543e-05,2,2,1,1
1.3996e-05,2,2,2,1
2.9403e-05,2,2,1,2
2.6791e-05,2,2,2,2
-1.9299e-07,1,3,1,1
4.8026e-07,1,3,2,1
-1.2885e-07,1,3,1,2
9.4848e-08,1,3,2,2
4.7716e-06,1,3,1,1
-2.3081e-06,1,3,2,1
5.0544e-06,1,3,1,2
-8.336e-06,1,3,2,2
-7.3393e-06,1,3,1,1
-1.0969e-06,1,3,2,1
6.8477e-07,1,3,1,2
1.022e-06,1,3,2,2
1.0466e-05,1,3,1,1
1.8701e-05,1,3,2,1
4.3595e-06,1,3,1,2
1.5557e-05,1,3,2,2
9.596e-07,1,3,1,1
-7.4353e-08,1,3,2,1
5.2228e-06,1,3,1,2
4.019e-06,1,3,2,2
8.3443e-07,1,3,1,1
9.3127e-07,1,3,2,1
-7.5518e-07,1,3,1,2
7.7881e-07,1,3,2,2
6.5725e-06,2,3,1,1
4.0397e-06,2,3,2,1
8.9972e-06,2,3,1,2
7.8684e-06,2,3,2,2
2.8829e-06,2,3,1,1
2.7978e-06,2,3,2,1
4.3928e-06,2,3,1,2
